"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Using computer supported collaborative learning strategies for helping students acquire self-regulated problem-solving skills in mathematics","Lazakidou, Georgia; Retalis, Symeon","","","","COMPUTERS & EDUCATION","JAN 2010","2010","54","1","","","","3","13","","10.1016/j.compedu.2009.02.020","","","81","6.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","9","5","6","8","7","7","9","11","7","4"
"An alternate reality game for language learning: ARGuing for multilingual motivation","Connolly, Thomas M.; Stansfield, Mark; Hainey, Thomas","","","","COMPUTERS & EDUCATION","AUG 2011","2011","57","1","","","","1389","1415","","10.1016/j.compedu.2011.01.009","","","80","7.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","7","10","6","9","6","10","10","8","6","4"
"Open and Low-Cost Virtual and Remote Labs on Control Engineering","Saenz, Jacobo; Chacon, Jesus; De La Torre, Luis; Visioli, Antonio; Dormido, Sebastian","","","","IEEE ACCESS","2015","2015","3","","","","","805","814","","10.1109/ACCESS.2015.2442613","","","76","10.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10","8","17","22","12","5"
"An Empirical Study Of Virtual Learning Environment Adoption Using UTAUT","Sumak, Bostjan; Polancic, Gregor; Hericko, Marjan","","","Gadomski, AM; Kramer, AM; Lester, CY; Popescu, M","SECOND INTERNATIONAL CONFERENCE ON MOBILE, HYBRID, AND ON-LINE LEARNING (ELML 2010)","2010","2010","","","","","","17","22","","10.1109/eLmL.2010.11","2nd International Conference on Mobile, Hybrid, and On-Line Learning","FEB 10-16, 2010","76","6.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","1","4","12","10","7","19","12","6"
"Modular approach to teaching PID control","Huba, Mikulas; Simunek, Miroslav","","","","IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS","DEC 2007","2007","54","6","","","","3112","3121","","10.1109/TIE.2007.907024","","","76","5.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","12","7","2","8","7","13","7","6","1","4","1","1","3"
"A system for knowledge discovery in e-learning environments within the European Higher Education Area - Application to student data from Open University of Madrid, UDIMA","Lara, Juan A.; Lizcano, David; Martinez, Maria A.; Pazos, Juan; Riera, Teresa","","","","COMPUTERS & EDUCATION","MAR 2014","2014","72","","","","","23","36","","10.1016/j.compedu.2013.10.009","","","68","8.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","9","12","10","17","12","3"
"The use of Moodle e-learning platform: a study in a Portuguese University","Costa, Carolina; Alvelos, Helena; Teixeira, Leonor","","","Varajao, J; Cunha, M; Yetton, P; Rijo, R","4TH CONFERENCE OF ENTERPRISE INFORMATION SYSTEMS - ALIGNING TECHNOLOGY, ORGANIZATIONS AND PEOPLE (CENTERIS 2012)","2012","2012","5","","","","","334","343","","10.1016/j.protcy.2012.09.037","4th Conference on ENTERprise Information Systems (CENTERIS) - Aligning Technology, Organizations and People / International Conference on Health and Social Care Information Systems and Technologies (HCIST)","OCT 03-05, 2012","67","6.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","5","8","9","11","10","13","5"
"Providing Adaptivity in Moodle LMS Courses","Despotovic-Zrakic, Marijana; Markovic, Aleksandar; Bogdanovic, Zorica; Barac, Dusan; Krco, Srdjan","","","","EDUCATIONAL TECHNOLOGY & SOCIETY","JAN 2012","2012","15","1","","","","326","338","","","","","64","6.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","5","12","6","10","6","8","4","2"
"Implementation of training programs in self-regulated learning strategies in Moodle format: Results of a experience in higher education","Carlos Nunez, Jose; Cerezo, Rebeca; Bernardo, Ana; Rosario, Pedro; Valle, Antonio; Fernandez, Estrella; Suarez, Natalia","","","","PSICOTHEMA","MAY 2011","2011","23","2","","","","274","281","","","","","64","5.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","12","8","5","12","6","7","6","0"
"Perceived Usability Evaluation of Learning Management Systems: Empirical Evaluation of the System Usability Scale","Orfanou, Konstantina; Tselios, Nikolaos; Katsanos, Christos","","","","INTERNATIONAL REVIEW OF RESEARCH IN OPEN AND DISTRIBUTED LEARNING","APR 2015","2015","16","2","","","","227","246","","","","","63","9.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","10","8","16","17","8"
